ID	Nome	Bio	Link Zeri	Bibliografia	Collaboratori	Eventi	Foto preview	Foto gallery
AC	Accorsi	AC_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=P.+ACCORSI	B_3 B_118 B_99, B_81 B_220	C_44	E_23	AC_preview	AC_img1
AL	Albrighi	AL_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=L.+Albrighi	B_27	C_7		AL_preview	AL_img1
AN	Angiolini	AN_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=R.+Angiolini	B_56				
AN-EF	Antonacci-Efrati	AN-EF_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.xd.jsp?sortby=PUNTEGGIO&view=list&page=1&batch=10&decorator=layout_resp&apply=true&locale=it&percorso_ricerca=XD&fulltext=antonacci 	B_11 B_117	C_11 C_30 C_68		AN-EF_preview	AN-EF_img1 AN-EF_img2
AP	Apolloni	AP_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Apolloni	B_117 B_59 B_227	C_11 C_51 C_30		AP_preview	AP_img1
AS	Ascoli	AS_bio	https://catalogo.fondazionezeri.unibo.it/scheda/opera/109115/Strozzi%20Zanobi%20%28Pseudo%20Domenico%20di%20Michelino%20Master%20of%20the%20Buckingham%20Palace%20Madonna%29%2C%20Dio%20Padre%20in%20trono%20e%20angeli 	B_321 B_322				
BA_I	Bacarelli	BA_I_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Bacarelli	B_216	C_68 C_11 C_32		BA_I_preview	BA_I_img1
BA_II	Bardini	BA_II_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?view=list&batch=10&sortby=LOCALIZZAZIONE&page=3&decorator=layout_resp&apply=true&percorso_ricerca=OA&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=S.+Bardini	B_138 B_17 B_136 B_142 B_65 B_14 B_8 B_101 B_100 B_92 B_56		E_14	BA_II_preview	BA_II_img1 BA_II_img2 BA_II_img3
BA_III	Barsanti	BA_III_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=A.+BARSANTI	B_140 B_9 B_73 B_148 B_14 B_111 B_95	C_24 C_50 C_66		BA_III_preview	BA_III_img1 BA_III_img2
BA_IV	Baslini	BA_IV_bio	https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=G.+BASLINI	B_166 B_2 B_154 B_34	C_66		BA_IV_preview	BA_IV_img1 BA_IV_img2
